psNumber,title,organisation,department,category,theme,submitted,cap,deadline,youtube,dataset
SIH26001,AI-Based early warning and landslide Risk Monitoring System in NER,Ministry of Development of North Eastern Region (MDoNER),Ministry of Development of North Eastern Region (MDoNER),Software,Disaster Management,20,500,30 September 2026,,
SIH26002,Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),Ministry of Development of North Eastern Region (MDoNER),Software,Transportation & Logistics,9,500,30 September 2026,,
SIH26003,AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),Ministry of Development of North Eastern Region (MDoNER),Software,MedTech / BioTech / HealthTech,8,500,30 September 2026,,
SIH26004,Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),Ministry of Development of North Eastern Region (MDoNER),Hardware,MedTech / BioTech / HealthTech,1,500,30 September 2026,,
SIH26005,Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER),Ministry of Development of North Eastern Region (MDoNER),Ministry of Development of North Eastern Region (MDoNER),Hardware,"Agriculture, FoodTech & Rural Development",3,500,30 September 2026,,
SIH26006,Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India,Ministry of Steel,SAIL,Software,Transportation & Logistics,4,500,30 September 2026,,
SIH26007,Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines.,Ministry of Steel,NMDC,Hardware,Smart Automation,2,500,30 September 2026,,
SIH26008,Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.,Ministry of Steel,NMDC,Hardware,Smart Automation,3,500,30 September 2026,,
SIH26009,Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.,Ministry of Steel,MOIL Ltd.,Software,Space Technology,0,500,30 September 2026,,
SIH26010,Survey/Resurvey of Rural Agricultural Land in lndia,Ministry of Rural Development,Dept of land resources (DoLR),Hardware,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26011,3D ULPIN Generation and vertical Property Mapping SYstem,Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,0,500,30 September 2026,,
SIH26012,AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery,Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,0,500,30 September 2026,,
SIH26013,Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.,Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,0,500,30 September 2026,,
SIH26014,An lntegrated GIS-based Digital Public lnfrastructure for Land Governance,Ministry of Rural Development,Dept of land resources (DoLR),Software,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26015,Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.,Ministry of Rural Development,Dept of land resources (DoLR),Software,"Agriculture, FoodTech & Rural Development",1,500,30 September 2026,,
SIH26016,Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support,Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,2,500,30 September 2026,,
SIH26017,Predictive Analytics System for Early Detection of Land Acquisition Delays,Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,1,500,30 September 2026,,
SIH26018,Intelligent Land Record Digitization and Validation System,Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,5,500,30 September 2026,,
SIH26019,"National Digital Platform for Research, Policy Innovation, and Evidence-Based Land Governance",Ministry of Rural Development,Dept of land resources (DoLR),Software,Smart Automation,0,500,30 September 2026,,
SIH26020,Design and Development of Innovative Hand-Spinning Equipment for Enhancing Khadi Artisan Productivity and Income,Ministry of MSME,Coordination Section,Hardware,"Agriculture, FoodTech & Rural Development",0,500,30 September 2026,,
SIH26021,Honey Chain: A block chain-based system for honey traceability and smart beekeeping management.,Ministry of MSME,Coordination Section,Software,"Agriculture, FoodTech & Rural Development",2,500,30 September 2026,,
SIH26022,"Design and develop a smart, solar-powered drying and compact packaging system to support home-based agarbatti manufacturing by rural women artisans.",Ministry of MSME,Coordination Section,Hardware,"Agriculture, FoodTech & Rural Development",2,500,30 September 2026,,
SIH26023,"AI-Powered Geological, Mining and other Reporting Solution for CMPDI/CIL subsidiaries",Ministry of Coal,Coal India Limited,Software,Smart Automation,0,500,30 September 2026,,
SIH26024,AI-Based Smart Governance and Compliance Monitoring System for Coal Mines,Ministry of Coal,Coal India Limited,Software,Smart Automation,3,500,30 September 2026,,
SIH26025,"Development of an AI-enabled Low Cost Real Time Mine Subsidence Monitoring, Prediction and Early Warning System for Underground Coal Mines in India",Ministry of Coal,Coal India Limited,Hardware,Smart Automation,3,500,30 September 2026,,
SIH26026,Development of Mobile (Quadruped)/Handheld Device/System for Real-Time Detection of Narcotics and Explosives across Indian Railways.,Ministry of Railways,Ministry of Railways,Hardware,Blockchain & Cybersecurity,1,500,30 September 2026,,
SIH26027,Al-Powered Automatic Block Planning to Maximize Asset Availability for Train Operations on Indian Railways,Ministry of Railways,Ministry of Railways,Software,Transportation & Logistics,3,500,30 September 2026,,
SIH26028,Dynamic Forecast of Expected Time of Arrival (ETA) for Coaching Trains,Ministry of Railways,Ministry of Railways,Software,Smart Automation,5,500,30 September 2026,,
SIH26029,Automated High-Current Short-Circuit Test System for IEC 60898-1:2015 MCB Compliance.,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Hardware,Smart Automation,1,500,30 September 2026,,
SIH26030,Automated Cable Specimen Preparation System for IS 10810 and IS 7098 Compliance.,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Hardware,Smart Automation,0,500,30 September 2026,,
SIH26031,"Quality assessment and grading of onions are often subjective and vary across procurement centers, resulting in disputes and inconsistencies.","Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Smart Automation,2,500,30 September 2026,,
SIH26032,"Farmers often face long waiting times, lack of information regarding procurement schedules, and uncertainty about procurement status.","Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Smart Automation,12,500,30 September 2026,,
SIH26033,Multiple intermediaries reduce farmers earnings and increase consumer prices.,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,"Agriculture, FoodTech & Rural Development",9,500,30 September 2026,,
SIH26034,"Software System to check compliance of Packaged Commodities under Legal Metrology(Packaged Commodities) Rules, 2011 by scanning products, images and labels.","Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Miscellaneous,11,500,30 September 2026,,
SIH26035,Development of a Software Program/Application for Generation of Test Reports for Non-Automatic Weighing Instruments (NAWI) as per OIML Recommendation R- 76,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Miscellaneous,1,500,30 September 2026,,
SIH26036,Development of an Online Verification System for Weighing and Measuring Instruments,"Ministry of Consumer Affairs, Food & Public Distribution",Department of Consumer Affairs (DoCA),Software,Miscellaneous,1,500,30 September 2026,,
SIH26037,Adaptive Path Planning and Collision Avoidance for Autonomous Vehicles on Unstructured Indian Roads,MathWorks,MathWorks,Software,Smart Vehicles,1,500,30 September 2026,,
SIH26038,Explainable AI for Diabetic Retinopathy Screening in Rural India,MathWorks,MathWorks,Software,MedTech / BioTech / HealthTech,5,500,30 September 2026,,
SIH26039,"Al-Powered Underground Mine Safety, Monitoring and Rescue System.",Government of Jharkhand,Department of Higher & Technical Education,Hardware,Smart Automation,1,500,30 September 2026,,
SIH26040,Smart Water Purification and Quality Monitoring System for Rural and Mining-Affected Areas.,Government of Jharkhand,Department of Higher & Technical Education,Hardware,Clean & Green Technology,10,500,30 September 2026,,
SIH26041,AR-Based Vocational Training Simulator for Industrial Safety in Jharkhand's Mining & Manufacturing Sector,Government of Jharkhand,Department of Higher & Technical Education,Software,Smart Education,0,500,30 September 2026,,
SIH26042,Al-Powered Vernacular Pedagogy and Real-Time Translation Tool for Mother Tongue-Based Primary Education,Government of Jharkhand,Department of Higher & Technical Education,Software,Smart Education,6,500,30 September 2026,,
SIH26043,A digital platform to crowdsource societal challenges and facilitate collaborative problem solving through universities and industry partnerships,Government of Jharkhand,Department of Higher & Technical Education,Software,Smart Education,5,500,30 September 2026,,
SIH26044,"Portal for Academia - Industry collaboration for Skill Mapping, Internships and Placement",Ministry of Ayush,All India Institute of Ayurveda,Software,Smart Automation,16,500,30 September 2026,,
SIH26045,"IP-SAKTI Sahayak a multilingual, RAG-based (source-cited) AI assistant for Intellectual Property and regulatory guidance in Ayurveda, across national and international regimes.",Ministry of Ayush,All India Institute of Ayurveda,Software,MedTech / BioTech / HealthTech,5,500,30 September 2026,,
SIH26046,"AIIA Clinical Trials Dashboard - a real-time, cloud-based, GCP-compliant Clinical Trial Management System (CTMS) for Ayurveda research, with CDISC/FHIR-interoperable data, role-based KPIs, and integrated ethics, regulatory (CTRI / NDCT Rules 2019) and pharma covigilance tracking.",Ministry of Ayush,All India Institute of Ayurveda,Software,MedTech / BioTech / HealthTech,1,500,30 September 2026,,
SIH26047,Patient Case-Taking Software,Ministry of Ayush,All India Institute of Ayurveda,Software,MedTech / BioTech / HealthTech,23,500,30 September 2026,,
SIH26048,"iKwath - a pod-based smart Kwatha (Kadha) maker that prepares a fresh, AFI/API-standardized decoction from coarse powder (yavaku?a c?r?a) on demand, in the shortest practical time without altering the decoctions quality or yield",Ministry of Ayush,All India Institute of Ayurveda,Hardware,MedTech / BioTech / HealthTech,0,500,30 September 2026,,
SIH26049,"Modifications to improve the reliability, efficiency,and lifespan of electrical and electronic equipment and systems in the ambient condition of subzero temperature and low pressure of High Altitude Areas(HAA) and Super High Altitude Areas (SHAA) of Ladakh region.",DRDO,Department of Defence Production /IDEX,Hardware,Smart Automation,1,500,30 September 2026,,
SIH26050,High Altitude Performance Optimization and Robust Design of Anti-Drone System.,DRDO,Department of Defence Production /IDEX,Hardware,Robotics and Drones,3,500,30 September 2026,,
SIH26051,Software Based Model Development for Design of Area Specific Shelter for Thermal Comfort Maintenance.,DRDO,Department of Defence Production /IDEX,Software,Miscellaneous,2,500,30 September 2026,,
SIH26052,"To develop an AI/ML-enabled adaptive noise cancellation (ANC) system that effectively suppresses stationary, non-stationary, and impulsive defence noises while maintaining high speech intelligibility and real-time performance on embedded hardware.",DRDO,Department of Defence Production /IDEX,Hardware,Miscellaneous,3,500,30 September 2026,,
SIH26053,Adaptive Variable Resolution 2.5D Lidar Mapping for Dynamic Environment Perception,DRDO,Department of Defence Production /IDEX,Software,Smart Vehicles,2,500,30 September 2026,,
SIH26054,"AI-Enabled Real-Time Digital Twin System for Health Monitoring, Fault Prediction and Mission Reliability Enhancement of Aero Piston Engines used in MALE UAVs.",DRDO,Department of Defence Production /IDEX,Software,Robotics and Drones,2,500,30 September 2026,,
SIH26055,Smart Scan strategy for Electronic Warfare,DRDO,Department of Defence Production /IDEX,Software,Robotics and Drones,1,500,30 September 2026,,
SIH26056,Development of a Real-time Airfare Price Index for India through Automated Web Scraping of Airline and Online Travel Aggregator Portals for Augmentation of the Consumer Price Index (CPI).,MoSPI,Data Informatics & Innovation Division (DIID),Software,Smart Automation,2,500,30 September 2026,,https://esankhyiki.mospi.gov.in
SIH26057,AI-Powered Automated Underwater Marine Debris and Anomaly Detection System using Side-Scan Sonar Imagery,Ministry of Earth Sciences (MoES),National Institute of Ocean Technology (NIOT),Software,Disaster Management,1,500,30 September 2026,,
